alpha,beta,benchmark,baseline_rho,retrofitted_rho,delta,time_sec
0.5,inv_degree,rg65,0.7662,0.8562,0.09,4.0
0.5,inv_degree,simlex999,0.3705,0.4776,0.1071,4.0
0.5,inv_degree,wordsim353,0.5433,0.6077,0.0644,4.0
0.5,uniform,rg65,0.7662,0.7052,-0.061,3.9
0.5,uniform,simlex999,0.3705,0.2557,-0.1148,3.9
0.5,uniform,wordsim353,0.5433,0.189,-0.3543,3.9
0.5,inv_sq_degree,rg65,0.7662,0.7932,0.027,4.0
0.5,inv_sq_degree,simlex999,0.3705,0.399,0.0285,4.0
0.5,inv_sq_degree,wordsim353,0.5433,0.5658,0.0225,4.0
1.0,inv_degree,rg65,0.7662,0.8433,0.0771,4.0
1.0,inv_degree,simlex999,0.3705,0.461,0.0905,4.0
1.0,inv_degree,wordsim353,0.5433,0.6064,0.0631,4.0
1.0,uniform,rg65,0.7662,0.7826,0.0164,4.0
1.0,uniform,simlex999,0.3705,0.3023,-0.0682,4.0
1.0,uniform,wordsim353,0.5433,0.2881,-0.2552,4.0
1.0,inv_sq_degree,rg65,0.7662,0.7805,0.0143,3.9
1.0,inv_sq_degree,simlex999,0.3705,0.391,0.0205,3.9
1.0,inv_sq_degree,wordsim353,0.5433,0.559,0.0157,3.9
2.0,inv_degree,rg65,0.7662,0.8189,0.0527,3.9
2.0,inv_degree,simlex999,0.3705,0.4347,0.0642,3.9
2.0,inv_degree,wordsim353,0.5433,0.5859,0.0426,3.9
2.0,uniform,rg65,0.7662,0.8303,0.0641,4.2
2.0,uniform,simlex999,0.3705,0.3662,-0.0043,4.2
2.0,uniform,wordsim353,0.5433,0.4113,-0.132,4.2
2.0,inv_sq_degree,rg65,0.7662,0.7676,0.0014,4.1
2.0,inv_sq_degree,simlex999,0.3705,0.3841,0.0136,4.1
2.0,inv_sq_degree,wordsim353,0.5433,0.5523,0.009,4.1
