dim,benchmark,baseline_rho,retrofitted_rho,delta,retrofit_time_sec
50,rg65,0.6021,0.7091,0.107,2.3
50,simlex999,0.2646,0.3602,0.0956,2.3
50,wordsim353,0.4478,0.4889,0.0411,2.3
100,rg65,0.6907,0.7868,0.0961,2.5
100,simlex999,0.2975,0.3905,0.093,2.5
100,wordsim353,0.4784,0.5232,0.0448,2.5
200,rg65,0.7126,0.8108,0.0982,3.1
200,simlex999,0.3403,0.4296,0.0893,3.1
200,wordsim353,0.5161,0.5628,0.0467,3.1
300,rg65,0.7662,0.8433,0.0771,3.9
300,simlex999,0.3705,0.461,0.0905,3.9
300,wordsim353,0.5433,0.6064,0.0631,3.9
